size,source,pixels_per_mm_x,pixels_per_mm_y,ruler_x_ticks_px,ruler_y_max_fit_error_mm,full_canvas_width_mm,full_canvas_height_mm,extra_20_percent_applied
4,size4.png,4.15,4.1414174,"[152, 193, 235]",0.115,127.9518,215.3852,False
5,size5.png,4.2,4.18948052,"[150, 191, 234]",0.1203,126.4286,218.8816,False
6,size6.png,4.2,4.18817218,"[153, 194, 237]",0.1646,126.4286,218.9499,False
7.5,size7-5.png,4.2,4.19324675,"[152, 194, 236]",0.1324,126.4286,218.685,False
9,size9.png,4.3,4.24300752,"[148, 190, 234]",0.1356,123.4884,214.9419,False
10,size10.png,4.15,4.13909091,"[139, 180, 222]",0.1629,127.9518,219.855,False
11,size11.png,4.15,4.13961039,"[122, 163, 205]",0.126,127.9518,219.8275,False
12.5,size12-5.png,4.1,4.14268775,"[125, 166, 207]",0.1307,129.5122,223.285,False
